food,Yemeksepeti,Getir,MigrosYemek
7UP (33 cl.),56.0,,0
Acılı Şalgam Suyu (330 ml),,40.0,0
Acısız Şalgam Suyu (330 ml),,40.0,0
Avantajlı Tavuk Döner Dürüm Menü,212.0,230.0,0
Avantajlı Tavuk Döner Dürüm Menü,212.0,230.0,0
Avantajlı Öncü Zurna Tavuk Döner Dürüm Menü,228.0,,0
Avantajlı Öncü Zurna Tavuk Döner Dürüm Menü,228.0,,0
Combo Tavuk Döner Dürüm Menü,228.0,250.0,0
Combo Öncü Zurna Tavuk Döner Dürüm Menü,248.0,,0
Combo Öncü Zurna Tavuk Döner Dürüm Menü,248.0,,0
Elmalı Soda (200 ml),,35.0,0
Fruko (330 ml),,60.0,0
Kazandıran Menü,400.0,,0
Ketçap,7.92,10.0,0
Limonlu Soda (200 ml),,40.0,0
Lipton Ice Tea (33 cl.),56.0,,0
Lipton Ice Tea Limon (330 ml),,50.0,0
Lipton Ice Tea Mango (330 ml),,50.0,0
Lipton Ice Tea Şeftali (330 ml),,60.0,0
Lipton Ice Tea'li Ramazan Menüsü,,280.0,0
Maden Suyu (20 cl.),19.92,,0
Mayonez,7.92,10.0,0
Meyveli Soda (20 cl.),19.92,,0
Patates Kızartması,,60.0,0
Patates Kızartması (100 gr.),39.92,,0
Pepsi (1 L.),63.99,,0
Pepsi (33 cl.),56.0,,0
Pepsi (330 ml),,60.0,0
Pepsi Zero Sugar (33 cl.),39.92,,0
Pepsi Zero Sugar (330 ml),,60.0,0
Pepsi’li Fırsat Menüsü,,210.0,0
Soda (200 ml),,30.0,0
Su (50 cl.),10.32,,0
Su (500 ml),,15.0,0
"Sütaş Ayran (27,5 cl.)",36.0,,0
Sütaş Ayran (275 ml),,40.0,0
Sütaş Tatlımmm,,30.0,0
Tavuk Döner,,250.0,0
Tavuk Döner (140 gr.),215.99,,0
Tavuk Döner Dürüm (80 g),,160.0,0
Tavuk Döner Dürüm (80 gr.),143.99,,0
Tavuk Döner Dürüm (80 gr.),143.99,,0
Tavuk Döner Haftası Menüsü,167.99,,0
Tavuk Döner Zurna Dürüm (120 g),,185.0,0
Tavuk Döner Öncü Zurna Dürüm Menü,215.99,,0
Tavuk Döner Öncü Zurna Dürüm Menü,215.99,,0
Tropicana (33 cl.),39.92,,0
Tropicana Kayısı (330 ml),,50.0,0
Tropicana Vişne (330 ml),,50.0,0
Tropicana Şeftali (330 ml),,50.0,0
Vişneli Soda (200 ml),,35.0,0
Yedigün (33 cl.),56.0,,0
Yedigün (330 ml),,60.0,0
Çikolatalı Puding,31.92,,0
Öncü Zurna Tavuk Döner Dürüm (120 gr.),175.99,,0
Öncü Zurna Tavuk Döner Dürüm (120 gr.),175.99,,0
İkili Menü,360.0,440.0,0
